"","sub_num","run_num","file_name","trial_num","rt","response","t_direction","accuracy","target_position_1","target_position_2","target_position_3","target_position_4","target_location_type","target_number","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","extraTargetShapeNumber","extraTargetShapePosition","extraTargetShapeType"
"639",2,5,"Stimuli\scenes\mainScenes\AdobeStock_216902241.jpeg",50,926,"/?","R",1,660,288,765.6,393.6,3,11,0,0,0,0,0
"640",2,5,"Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg",51,816,"z","L",1,1128,738,1233.6,843.6,3,5,1,0,0,0,0
"641",2,5,"Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg",52,1464,"/?","R",1,774,192,879.6,297.6,1,14,0,1,5,3,3
"642",2,5,"Stimuli\scenes\mainScenes\pexels-curtis-adams-6835079.jpg",53,1541,"/?","R",1,508,344,613.6,449.6,1,14,0,1,4,2,2
"643",2,5,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg",54,985,"/?","R",1,1370,572,1475.6,677.6,2,11,1,1,4,3,3
"644",2,5,"Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg",55,1329,"z","L",1,1628,362,1733.6,467.6,1,4,1,0,0,0,0
"645",2,5,"Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg",56,915,"z","L",1,428,830,533.6,935.6,2,5,0,0,0,0,0
"646",2,5,"Stimuli\scenes\mainScenes\pexels-curtis-adams-3958964.jpg",57,1647,"/?","R",1,182,880,287.6,985.6,2,4,0,0,0,0,0
"647",2,5,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg",58,860,"/?","R",1,1012,942,1117.6,1047.6,2,5,0,1,11,4,1
"648",2,5,"Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg",59,1154,"/?","R",1,254,730,359.6,835.6,3,11,0,1,14,4,1
"649",2,5,"Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg",60,988,"/?","R",1,216,466,321.6,571.6,1,14,0,0,0,0,0
"650",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312078.jpg",1,695,"/?","R",1,1014,852,1119.6,957.6,2,4,0,0,0,0,0
"651",2,6,"Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg",2,779,"z","L",1,1240,916,1345.6,1021.6,2,14,1,1,5,1,3
"652",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4839334.jpg",3,924,"/?","R",1,1398,496,1503.6,601.6,3,11,0,0,0,0,0
"653",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg",4,834,"/?","R",1,1606,894,1711.6,999.6,2,5,0,1,14,4,1
"654",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4119833.jpg",5,857,"z","L",1,820,934,925.6,1039.6,2,4,0,0,0,0,0
"655",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-10827398.jpg",6,1383,"/?","R",1,616,812,721.6,917.6,2,14,1,0,0,0,0
"656",2,6,"Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg",7,1417,"z","L",1,232,680,337.6,785.6,3,11,0,1,5,1,2
"657",2,6,"Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg",8,943,"/?","R",1,160,886,265.6,991.6,2,5,0,1,11,3,1
"658",2,6,"Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg",9,1089,"z","L",1,828,668,933.6,773.6,2,4,0,1,5,4,3
"659",2,6,"Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg",10,1942,"/?","R",1,1506,552,1611.6,657.6,3,11,0,1,4,1,3
