"","sub_num","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","meanRT","Validity","additionalTargetDistractor"
"95","24",1,0,1118.72727272727,"Invalid","No distractor present"
"96","24",1,1,1146.48837209302,"Invalid","Distractor present"
"97","25",0,0,1112.86614173228,"Valid","No distractor present"
"98","25",0,1,1122.42741935484,"Valid","Distractor present"
"99","25",1,0,1262.37209302326,"Invalid","No distractor present"
"100","25",1,1,1273.92682926829,"Invalid","Distractor present"
"101","26",0,0,1084.47286821705,"Valid","No distractor present"
"102","26",0,1,1117.464,"Valid","Distractor present"
"103","26",1,0,1266.19047619048,"Invalid","No distractor present"
"104","26",1,1,1242.31578947368,"Invalid","Distractor present"
"105","27",0,0,1162.15873015873,"Valid","No distractor present"
"106","27",0,1,1215.65546218487,"Valid","Distractor present"
"107","27",1,0,1211.19444444444,"Invalid","No distractor present"
"108","27",1,1,1256.83783783784,"Invalid","Distractor present"
"109","28",0,0,1105.27966101695,"Valid","No distractor present"
"110","28",0,1,1125.9674796748,"Valid","Distractor present"
"111","28",1,0,1086.97674418605,"Invalid","No distractor present"
"112","28",1,1,1059.05,"Invalid","Distractor present"
"113","30",0,0,1318.96666666667,"Valid","No distractor present"
"114","30",0,1,1296.66666666667,"Valid","Distractor present"
"115","30",1,0,1403.37037037037,"Invalid","No distractor present"
"116","30",1,1,1410.13333333333,"Invalid","Distractor present"
"117","31",0,0,917.097014925373,"Valid","No distractor present"
"118","31",0,1,931.138461538462,"Valid","Distractor present"
"119","31",1,0,965.511627906977,"Invalid","No distractor present"
"120","31",1,1,930.348837209302,"Invalid","Distractor present"
"121","32",0,0,995.626984126984,"Valid","No distractor present"
"122","32",0,1,1057.83333333333,"Valid","Distractor present"
"123","32",1,0,1097.6976744186,"Invalid","No distractor present"
"124","32",1,1,1133.37209302326,"Invalid","Distractor present"
"125","33",0,0,1122.85123966942,"Valid","No distractor present"
"126","33",0,1,1183.14876033058,"Valid","Distractor present"
"127","33",1,0,1157.88095238095,"Invalid","No distractor present"
"128","33",1,1,1212.71428571429,"Invalid","Distractor present"
"129","34",0,0,1048.02985074627,"Valid","No distractor present"
"130","34",0,1,1117.59541984733,"Valid","Distractor present"
"131","34",1,0,1136.46666666667,"Invalid","No distractor present"
"132","34",1,1,1070.32558139535,"Invalid","Distractor present"
"133","35",0,0,1190.42105263158,"Valid","No distractor present"
"134","35",0,1,1217.91472868217,"Valid","Distractor present"
"135","35",1,0,1232.7619047619,"Invalid","No distractor present"
"136","35",1,1,1256.93181818182,"Invalid","Distractor present"
"137","36",0,0,1205.17557251908,"Valid","No distractor present"
"138","36",0,1,1191.11450381679,"Valid","Distractor present"
"139","36",1,0,1148.62790697674,"Invalid","No distractor present"
"140","36",1,1,1224.38636363636,"Invalid","Distractor present"
"141","37",0,0,1253.91056910569,"Valid","No distractor present"
"142","37",0,1,1344.57142857143,"Valid","Distractor present"
"143","37",1,0,1344.9,"Invalid","No distractor present"
"144","37",1,1,1490.2,"Invalid","Distractor present"
"145","38",0,0,1031.57936507937,"Valid","No distractor present"
"146","38",0,1,1029.81395348837,"Valid","Distractor present"
"147","38",1,0,1172.25581395349,"Invalid","No distractor present"
"148","38",1,1,1162.7380952381,"Invalid","Distractor present"
"149","39",0,0,1254.51351351351,"Valid","No distractor present"
"150","39",0,1,1288.74358974359,"Valid","Distractor present"
"151","39",1,0,1526.53846153846,"Invalid","No distractor present"
"152","39",1,1,1392.76923076923,"Invalid","Distractor present"
"153","42",0,0,1127.09230769231,"Valid","No distractor present"
"154","42",0,1,1167.1968503937,"Valid","Distractor present"
"155","42",1,0,1149.04545454545,"Invalid","No distractor present"
"156","42",1,1,1202.97619047619,"Invalid","Distractor present"
"157","43",0,0,1117.02325581395,"Valid","No distractor present"
"158","43",0,1,1056.17741935484,"Valid","Distractor present"
"159","43",1,0,1131.56818181818,"Invalid","No distractor present"
"160","43",1,1,1165.78571428571,"Invalid","Distractor present"
"161","44",0,0,1158.4921875,"Valid","No distractor present"
"162","44",0,1,1141,"Valid","Distractor present"
"163","44",1,0,1180.13953488372,"Invalid","No distractor present"
"164","44",1,1,1091.13953488372,"Invalid","Distractor present"
"165","45",0,0,1036.86466165414,"Valid","No distractor present"
"166","45",0,1,1094.79230769231,"Valid","Distractor present"
"167","45",1,0,1099.60975609756,"Invalid","No distractor present"
"168","45",1,1,1081.83720930233,"Invalid","Distractor present"
"169","48",0,0,1094.06015037594,"Valid","No distractor present"
"170","48",0,1,1108.49612403101,"Valid","Distractor present"
"171","48",1,0,1189.60465116279,"Invalid","No distractor present"
"172","48",1,1,1136.54761904762,"Invalid","Distractor present"
"173","49",0,0,1078.57142857143,"Valid","No distractor present"
"174","49",0,1,1033.38260869565,"Valid","Distractor present"
"175","49",1,0,1148,"Invalid","No distractor present"
"176","49",1,1,1108,"Invalid","Distractor present"
"177","50",0,0,1183.275,"Valid","No distractor present"
"178","50",0,1,1182.54128440367,"Valid","Distractor present"
"179","50",1,0,1173.1,"Invalid","No distractor present"
"180","50",1,1,1120.10810810811,"Invalid","Distractor present"
