0,0,0,0,0
10,1,1,8,4
10,1,2,9,1
10,1,3,17,1
10,1,4,19,1
10,1,5,2,2
10,1,6,20,2
10,1,7,23,4
10,1,8,14,1
10,1,9,1,2
10,1,10,12,3
10,1,11,6,4
10,1,12,18,1
10,1,13,10,1
10,1,14,4,1
10,1,15,22,3
10,1,16,21,4
10,1,17,13,4
10,1,18,3,3
10,1,19,16,4
10,1,20,24,1
10,1,21,5,4
10,1,22,15,3
10,1,23,11,4
10,1,24,7,1
10,2,1,89,3
10,2,2,11,4
10,2,3,96,1
10,2,4,24,3
10,2,5,94,1
10,2,6,74,2
10,2,7,21,2
10,2,8,75,1
10,2,9,3,2
10,2,10,12,2
10,2,11,46,3
10,2,12,87,3
10,2,13,42,1
10,2,14,91,2
10,2,15,26,1
10,2,16,30,3
10,2,17,38,2
10,2,18,65,2
10,2,19,14,4
10,2,20,55,1
10,2,21,18,3
10,2,22,58,3
10,2,23,69,4
10,2,24,84,2
10,2,25,5,4
10,2,26,6,4
10,2,27,45,3
10,2,28,25,1
10,2,29,32,4
10,2,30,53,2
10,2,31,85,4
10,2,32,50,2
10,2,33,9,2
10,2,34,68,4
10,2,35,16,2
10,2,36,52,3
10,2,37,82,3
10,2,38,49,4
10,2,39,67,1
10,2,40,28,3
10,2,41,78,3
10,2,42,76,3
10,2,43,35,4
10,2,44,22,2
10,2,45,57,2
10,2,46,54,2
10,2,47,83,2
10,2,48,33,2
10,2,49,36,1
10,2,50,39,2
10,2,51,64,2
10,2,52,40,4
10,2,53,13,1
10,2,54,90,3
10,2,55,86,3
10,2,56,62,4
10,2,57,51,1
10,2,58,70,4
10,2,59,66,2
10,2,60,80,4
10,3,1,19,2
10,3,2,4,3
10,3,3,20,1
10,3,4,73,4
10,3,5,59,2
10,3,6,8,2
10,3,7,71,4
10,3,8,63,2
10,3,9,15,1
10,3,10,23,4
10,3,11,95,3
10,3,12,44,3
10,3,13,7,2
10,3,14,10,1
10,3,15,41,4
10,3,16,61,2
10,3,17,88,2
10,3,18,2,3
10,3,18,88,4
10,3,19,37,2
10,3,20,31,2
10,3,21,1,3
10,3,22,77,2
10,3,23,72,1
10,3,24,60,3
10,3,25,79,1
10,3,26,93,1
10,3,27,56,4
10,3,28,92,4
10,3,29,27,3
10,3,30,48,2
10,3,31,81,3
10,3,32,29,4
10,3,33,34,2
10,3,34,17,3
10,3,35,43,4
10,3,36,47,3
10,3,37,57,2
10,3,38,87,3
10,3,39,9,1
10,3,40,55,3
10,3,41,30,3
10,3,42,45,3
10,3,43,2,3
10,3,43,88,4
10,3,44,53,4
10,3,45,48,1
10,3,46,26,3
10,3,47,83,2
10,3,48,52,2
10,3,49,94,3
10,3,50,86,3
10,3,51,22,3
10,3,52,44,3
10,3,53,23,1
10,3,54,67,4
10,3,55,80,2
10,3,56,75,4
10,3,57,81,3
10,3,58,4,4
10,3,59,11,4
10,3,60,41,3
10,4,1,60,4
10,4,2,65,1
10,4,3,88,1
10,4,4,72,3
10,4,5,84,2
10,4,6,54,2
10,4,7,91,1
10,4,8,82,1
10,4,9,8,3
10,4,10,15,4
10,4,11,20,1
10,4,12,46,4
10,4,13,64,2
10,4,14,1,2
10,4,15,85,1
10,4,16,5,3
10,4,17,63,1
10,4,18,68,3
10,4,19,93,2
10,4,20,21,4
10,4,21,27,3
10,4,22,70,3
10,4,23,69,3
10,4,24,7,3
10,4,25,73,2
10,4,26,31,3
10,4,27,56,2
10,4,28,39,4
10,4,29,62,1
10,4,30,77,1
10,4,31,71,4
10,4,32,24,4
10,4,33,61,4
10,4,34,38,4
10,4,35,16,2
10,4,36,51,2
10,4,37,3,4
10,4,38,40,1
10,4,39,13,3
10,4,40,19,2
10,4,41,42,1
10,4,42,95,3
10,4,43,12,1
10,4,44,6,2
10,4,45,14,1
10,4,46,47,2
10,4,47,50,3
10,4,48,59,4
10,4,49,76,4
10,4,50,49,3
10,4,51,34,3
10,4,52,17,1
10,4,53,25,1
10,4,54,92,3
10,4,55,28,4
10,4,56,37,1
10,4,57,74,2
10,4,58,32,3
10,4,59,66,2
10,4,60,89,1
10,5,1,33,3
10,5,2,43,2
10,5,3,79,3
10,5,4,90,2
10,5,5,29,4
10,5,6,18,1
10,5,7,96,4
10,5,8,58,1
10,5,9,78,2
10,5,10,10,1
10,5,11,35,2
10,5,12,36,1
10,5,13,43,2
10,5,14,5,4
10,5,15,47,4
10,5,16,73,4
10,5,17,26,1
10,5,18,29,4
10,5,19,86,3
10,5,20,76,4
10,5,21,56,1
10,5,22,51,2
10,5,23,75,1
10,5,24,52,4
10,5,25,30,4
10,5,26,41,4
10,5,27,55,1
10,5,28,85,4
10,5,29,53,1
10,5,30,96,1
10,5,31,48,4
10,5,32,72,2
10,5,33,27,3
10,5,34,2,3
10,5,34,88,4
10,5,35,15,2
10,5,36,50,3
10,5,37,44,3
10,5,38,8,3
10,5,39,19,2
10,5,40,95,3
10,5,41,71,2
10,5,42,22,1
10,5,43,49,3
10,5,44,11,1
10,5,45,63,3
10,5,46,17,1
10,5,47,77,3
10,5,48,87,1
