sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
48,5,Stimuli\scenes\mainScenes\036_L_filler_absent_bowl.jpg,1,1671,z,L,1,1396,536,1501.6,641.6,3,5,0,1,12,2,1
48,5,Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg,2,1450,z,L,1,160,886,265.6,991.6,2,2,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-15409439.jpg,3,817,/?,R,1,684,694,789.6,799.6,2,12,0,1,5,3,1
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7005450.jpg,4,799,z,L,1,656,470,761.6,575.6,1,13,0,1,12,2,2
48,5,Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg,5,751,/?,R,1,464,530,569.6,635.6,3,5,0,1,13,4,2
48,5,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg,6,833,z,L,1,678,920,783.6,1025.6,2,2,0,1,13,4,1
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,7,718,/?,R,1,900,882,1005.6,987.6,2,12,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5353944.jpg,8,1471,z,L,1,1644,132,1749.6,237.6,1,13,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,9,1275,/?,R,1,1334,944,1439.6,1049.6,2,13,1,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,10,953,z,L,1,986,920,1091.6,1025.6,2,2,0,1,12,2,1
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,11,971,z,L,1,414,934,519.6,1039.6,2,12,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg,12,708,/?,R,1,546,392,651.6,497.6,1,5,1,1,13,4,3
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg,13,912,z,L,1,1160,688,1265.6,793.6,3,5,0,1,12,4,2
48,5,Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg,14,1134,z,L,1,160,886,265.6,991.6,2,2,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,15,1025,z,L,1,820,800,925.6,905.6,2,12,0,1,2,3,1
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-8186477.jpg,16,1217,z,L,1,336,888,441.6,993.6,3,13,1,1,2,1,3
48,5,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,17,1070,z,R,0,428,830,533.6,935.6,2,13,1,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-get-lost-mike-9993440.jpg,18,1567,z,L,1,1450,930,1555.6,1035.6,3,5,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg,19,791,/?,R,1,1240,916,1345.6,1021.6,2,2,0,1,13,4,3
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,20,1376,z,L,1,1174,922,1279.6,1027.6,2,12,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,21,1017,z,L,1,1396,768,1501.6,873.6,3,5,0,1,12,1,3
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7060815.jpg,22,1465,z,L,1,1692,930,1797.6,1035.6,2,2,0,1,13,3,3
48,5,Stimuli\scenes\mainScenes\pexels-skitterphoto-349749.jpg,23,1798,/?,R,1,1704,598,1809.6,703.6,3,12,1,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,24,934,/?,R,1,938,444,1043.6,549.6,1,13,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,25,1142,/?,R,1,104,590,209.6,695.6,3,5,0,1,2,3,3
48,5,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158669.jpg,26,901,z,L,1,1248,430,1353.6,535.6,1,2,1,1,5,4,2
48,5,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,27,909,/?,R,1,1254,226,1359.6,331.6,1,13,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg,28,1520,z,L,1,1012,942,1117.6,1047.6,2,12,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,29,1955,z,L,1,1518,362,1623.6,467.6,1,2,1,1,12,4,1
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg,30,1509,z,L,1,936,544,1041.6,649.6,3,12,1,0,0,0,0
48,5,Stimuli\scenes\mainScenes\AdobeStock_216902241.jpeg,31,1780,z,L,1,1698,222,1803.6,327.6,1,13,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312078.jpg,32,1488,z,L,1,1758,598,1863.6,703.6,3,5,0,1,2,4,1
48,5,Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg,33,1422,z,L,1,442,936,547.6,1041.6,2,2,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-saviesa-home-2089698.jpg,34,1204,z,L,1,476,820,581.6,925.6,2,12,0,1,5,1,1
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,35,1244,/?,L,0,474,108,579.6,213.6,1,13,0,1,5,3,3
48,5,Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg,36,1052,/?,R,1,1178,738,1283.6,843.6,3,5,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-11315956.jpg,37,818,/?,R,1,914,950,1019.6,1055.6,2,2,0,1,5,4,1
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6969864.jpg,38,1185,/?,R,1,1740,324,1845.6,429.6,1,13,0,1,12,1,3
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg,39,1635,/?,R,1,1402,610,1507.6,715.6,3,12,1,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg,40,1006,z,L,1,262,222,367.6,327.6,1,5,1,1,2,2,2
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,41,1693,/?,R,1,1488,510,1593.6,615.6,3,5,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg,42,1057,/?,R,1,678,920,783.6,1025.6,2,2,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583875.jpg,43,1167,z,L,1,368,96,473.6,201.6,1,13,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312077.jpg,44,1201,z,L,1,488,900,593.6,1005.6,2,12,0,1,5,4,3
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,45,1000,/?,R,1,820,434,925.6,539.6,1,2,1,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-ryan-donnelly-100575.jpg,46,1408,z,L,1,1428,382,1533.6,487.6,1,13,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg,47,1052,/?,R,1,468,534,573.6,639.6,3,5,0,0,0,0,0
48,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,48,1266,/?,R,1,982,530,1087.6,635.6,3,12,1,1,2,1,2
