sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7031868.jpg,1,1271,/?,R,1,730,848,835.6,953.6,2,19,0,1,6,4,1
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15409439.jpg,2,1541,z,L,1,1566,192,1671.6,297.6,1,6,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,3,1254,/?,R,1,414,934,519.6,1039.6,2,3,0,1,6,2,3
24,2,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg,4,1181,/?,R,1,678,920,783.6,1025.6,2,12,1,1,19,3,3
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7060815.jpg,5,790,/?,R,1,786,564,891.6,669.6,3,12,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-10827337.jpg,6,974,z,L,1,648,914,753.6,1019.6,2,19,0,1,6,1,1
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4800177.jpg,7,904,z,L,1,360,678,465.6,783.6,2,6,1,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg,8,1146,/?,L,0,1608,920,1713.6,1025.6,2,3,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,9,937,z,L,1,500,758,605.6,863.6,2,19,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,10,1634,z,L,1,254,206,359.6,311.6,1,6,0,1,12,4,2
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,11,1075,/?,R,1,1292,936,1397.6,1041.6,2,3,0,1,12,4,1
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg,12,1285,z,L,1,1402,610,1507.6,715.6,3,12,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,13,1194,/?,R,1,1370,572,1475.6,677.6,2,19,0,1,3,4,1
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583892.jpg,14,896,/?,R,1,324,542,429.6,647.6,3,6,1,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,15,939,z,L,1,646,522,751.6,627.6,1,12,1,1,3,1,3
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,16,1018,z,L,1,1612,834,1717.6,939.6,2,3,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,17,1674,/?,R,1,864,72,969.6,177.6,1,6,0,1,19,2,3
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-8082201.jpg,18,1274,/?,R,1,34,900,139.6,1005.6,2,19,0,1,12,1,3
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5353944.jpg,19,1015,z,L,1,1550,928,1655.6,1033.6,2,3,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\036_L_filler_absent_bowl.jpg,20,1175,z,L,1,1396,536,1501.6,641.6,3,12,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg,21,990,/?,R,1,1048,868,1153.6,973.6,2,19,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601072.jpg,22,887,z,L,1,1298,510,1403.6,615.6,3,12,0,1,19,3,2
24,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8504308.jpg,23,1550,/?,R,1,360,946,465.6,1051.6,2,6,1,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,24,746,/?,R,1,988,492,1093.6,597.6,1,3,1,1,6,4,1
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062154.jpg,25,831,/?,R,1,622,704,727.6,809.6,3,19,1,1,3,1,3
24,2,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,26,758,/?,R,1,338,476,443.6,581.6,3,12,0,1,3,2,2
24,2,Stimuli\scenes\mainScenes\pexels-ryan-donnelly-100575.jpg,27,941,z,L,1,1428,382,1533.6,487.6,1,6,0,1,3,4,3
24,2,Stimuli\scenes\mainScenes\pexels-saviesa-home-2089698.jpg,28,953,/?,R,1,1418,680,1523.6,785.6,2,3,0,1,12,2,3
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,29,762,/?,R,1,1566,180,1671.6,285.6,1,6,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-sharath-g-4722305.jpg,30,1123,/?,R,1,422,960,527.6,1065.6,2,19,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg,31,847,/?,R,1,950,842,1055.6,947.6,2,12,1,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,32,981,/?,R,1,284,696,389.6,801.6,2,3,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,33,1422,z,L,1,986,920,1091.6,1025.6,2,19,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg,34,1140,z,L,1,168,648,273.6,753.6,3,12,0,1,19,3,3
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,35,1336,z,L,1,138,84,243.6,189.6,1,6,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg,36,1386,z,L,1,546,392,651.6,497.6,1,3,1,1,6,1,2
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713242.jpg,37,1109,/?,R,1,282,884,387.6,989.6,2,19,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-skitterphoto-349749.jpg,38,840,z,L,1,698,848,803.6,953.6,2,3,0,1,6,2,1
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,39,1325,z,L,1,1634,344,1739.6,449.6,1,12,1,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3958964.jpg,40,2197,/?,R,1,68,324,173.6,429.6,1,6,0,1,19,2,2
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg,41,1193,z,L,1,1240,916,1345.6,1021.6,2,19,0,1,6,1,3
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4839334.jpg,42,824,/?,R,1,472,266,577.6,371.6,1,6,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062099.jpg,43,1040,/?,R,1,1444,918,1549.6,1023.6,2,3,0,1,12,2,1
24,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312078.jpg,44,1049,/?,R,1,1758,598,1863.6,703.6,3,12,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg,45,2541,z,L,1,442,936,547.6,1041.6,2,19,0,1,12,2,1
24,2,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg,46,1186,/?,R,1,1450,646,1555.6,751.6,3,12,0,0,0,0,0
24,2,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,47,1399,/?,R,1,142,204,247.6,309.6,1,3,1,0,0,0,0
24,2,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,48,1925,/?,R,1,1662,802,1767.6,907.6,3,6,1,1,12,1,3
