sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
33,2,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,1,1078,z,L,1,1518,212,1623.6,317.6,1,14,1,1,7,2,2
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061393.jpg,2,1072,/?,R,1,396,728,501.6,833.6,3,19,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,3,1096,/?,R,1,900,882,1005.6,987.6,2,7,0,1,19,1,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3935337.jpg,4,1476,z,L,1,1528,776,1633.6,881.6,3,6,1,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,5,1087,/?,R,1,1332,544,1437.6,649.6,3,14,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,6,1284,/?,R,1,1518,362,1623.6,467.6,1,6,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8186477.jpg,7,1191,z,L,1,1298,954,1403.6,1059.6,2,7,0,1,14,1,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg,8,1753,/?,R,1,1610,792,1715.6,897.6,3,19,0,1,14,2,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg,9,1235,z,L,1,1694,482,1799.6,587.6,1,6,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,10,2020,z,L,1,1530,528,1635.6,633.6,3,14,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,11,1265,/?,R,1,1472,158,1577.6,263.6,1,7,1,1,6,3,2
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg,12,926,z,L,1,594,282,699.6,387.6,1,19,1,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4800177.jpg,13,1585,/?,R,1,88,656,193.6,761.6,3,14,0,1,7,3,1
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,14,1321,z,L,1,474,108,579.6,213.6,1,6,0,1,7,2,3
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,15,834,/?,R,1,1334,548,1439.6,653.6,3,19,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,16,1205,/?,R,1,474,946,579.6,1051.6,2,7,0,1,6,4,1
33,2,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,17,1368,z,L,1,1540,508,1645.6,613.6,3,14,0,1,6,3,1
33,2,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,18,877,/?,R,1,828,668,933.6,773.6,2,7,0,1,19,4,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg,19,916,/?,R,1,232,680,337.6,785.6,3,19,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5353944.jpg,20,1303,/?,R,1,1550,928,1655.6,1033.6,2,6,1,0,0,0,0
33,2,Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg,21,952,z,L,1,678,898,783.6,1003.6,2,7,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,22,912,z,L,1,218,470,323.6,575.6,1,6,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-3753437.jpg,23,1320,z,L,1,340,460,445.6,565.6,3,14,0,1,19,4,2
33,2,Stimuli\scenes\mainScenes\pexels-ryan-donnelly-100575.jpg,24,1166,/?,R,1,198,882,303.6,987.6,2,19,1,1,6,1,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,25,1594,z,L,1,1174,922,1279.6,1027.6,2,14,1,1,19,1,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-10827337.jpg,26,872,z,L,1,1026,624,1131.6,729.6,3,19,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\AdobeStock_27579147.jpeg,27,1496,z,L,1,546,380,651.6,485.6,1,6,0,1,7,4,2
33,2,Stimuli\scenes\mainScenes\AdobeStock_106076039.jpeg,28,1674,/?,R,1,32,230,137.6,335.6,1,7,1,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-9993440.jpg,29,1039,z,L,1,254,594,359.6,699.6,1,6,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-skitterphoto-349749.jpg,30,840,/?,R,1,698,848,803.6,953.6,2,7,0,1,6,1,3
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312078.jpg,31,1448,z,L,1,1758,598,1863.6,703.6,3,14,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg,32,1642,/?,L,0,1506,552,1611.6,657.6,3,19,0,1,14,4,2
33,2,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,33,1059,z,L,1,1254,226,1359.6,331.6,1,6,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,34,839,/?,R,1,336,728,441.6,833.6,3,14,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,35,1180,/?,R,1,360,304,465.6,409.6,1,7,1,1,6,2,1
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713242.jpg,36,1583,z,L,1,1282,618,1387.6,723.6,3,19,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,37,1098,/?,R,1,864,72,969.6,177.6,1,6,0,1,14,1,3
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713243.jpg,38,1211,z,L,1,1354,888,1459.6,993.6,2,7,0,1,19,1,3
33,2,Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg,39,2504,/?,R,1,912,662,1017.6,767.6,3,14,0,1,6,3,2
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4119833.jpg,40,781,/?,R,1,1136,200,1241.6,305.6,1,19,1,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583875.jpg,41,1104,z,L,1,368,96,473.6,201.6,1,6,0,1,7,1,3
33,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,42,4361,/?,R,1,150,720,255.6,825.6,3,14,0,1,6,4,2
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,43,1030,z,L,1,1028,938,1133.6,1043.6,2,7,0,1,6,4,1
33,2,Stimuli\scenes\mainScenes\pexels-alex-qian-2343467.jpg,44,893,/?,R,1,1494,436,1599.6,541.6,1,19,1,1,14,3,2
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg,45,979,z,L,1,1012,942,1117.6,1047.6,2,6,1,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,46,1218,z,L,1,170,656,275.6,761.6,3,14,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-8082201.jpg,47,966,z,L,1,34,900,139.6,1005.6,2,7,0,0,0,0,0
33,2,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg,48,985,/?,R,1,586,514,691.6,619.6,3,19,0,0,0,0,0
