sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
48,4,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg,1,1103,z,L,1,164,826,269.6,931.6,2,5,1,1,13,3,1
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713242.jpg,2,1195,z,L,1,282,884,387.6,989.6,2,2,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4258272.jpg,3,1427,z,L,1,794,910,899.6,1015.6,3,13,1,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-saviesa-home-2089698.jpg,4,1699,z,L,1,1418,680,1523.6,785.6,2,12,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061393.jpg,5,1177,/?,R,1,982,884,1087.6,989.6,2,2,0,1,13,1,3
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,6,880,/?,R,1,384,404,489.6,509.6,3,5,0,1,2,2,3
48,4,Stimuli\scenes\mainScenes\073_L_filler_absent_coffeemug.jpg,7,925,/?,R,1,474,290,579.6,395.6,1,13,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,8,1352,z,R,0,214,912,319.6,1017.6,2,12,0,1,5,2,3
48,4,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,9,994,/?,R,1,1320,526,1425.6,631.6,3,5,0,1,13,4,1
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4839334.jpg,10,1106,z,L,1,472,266,577.6,371.6,1,2,1,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,11,738,/?,R,1,950,260,1055.6,365.6,1,13,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\AdobeStock_27579147.jpeg,12,1053,z,L,1,546,380,651.6,485.6,1,12,1,1,2,2,2
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583892.jpg,13,954,z,L,1,878,892,983.6,997.6,2,2,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg,14,982,z,L,1,806,602,911.6,707.6,2,12,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7060815.jpg,15,1238,/?,R,1,1620,622,1725.6,727.6,3,5,0,1,12,4,2
48,4,Stimuli\scenes\mainScenes\pexels-keegan-checks-10117731.jpg,16,749,/?,R,1,638,334,743.6,439.6,1,13,0,1,2,4,3
48,4,Stimuli\scenes\mainScenes\pexels-sharath-g-4722305.jpg,17,886,/?,R,1,1446,848,1551.6,953.6,3,5,0,1,2,4,2
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,18,1867,/?,R,1,1566,180,1671.6,285.6,1,2,1,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg,19,824,z,L,1,664,282,769.6,387.6,1,13,0,0,0,0,0
48,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,20,1382,z,L,1,1292,936,1397.6,1041.6,2,12,0,1,13,4,1
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,21,1575,z,L,1,148,688,253.6,793.6,3,2,1,1,5,1,2
48,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062099.jpg,22,889,z,L,1,1444,918,1549.6,1023.6,2,12,0,0,0,0,0
