sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
49,1,Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg,1,3336,/?,R,1,1136,850,1232,946,2,1,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\077_L_filler_absent_footrest.jpg,2,1826,z,R,0,1306,476,1402,572,3,22,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg,3,2550,/?,R,1,1086,854,1182,950,2,21,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5353881.jpg,4,1656,/?,R,1,110,456,206,552,1,19,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-10099319.jpg,5,1405,/?,R,1,318,846,414,942,2,1,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-3958951.jpg,6,2318,/?,R,1,1710,546,1806,642,3,22,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_283829914.jpeg,7,2554,z,R,0,1088,238,1184,334,1,19,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-14495889.jpg,8,1789,/?,R,1,784,978,880,1074,2,21,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_490760493.jpeg,9,1282,z,L,1,306,322,402,418,1,19,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8186506.jpg,10,1215,z,L,1,966,936,1062,1032,2,1,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_142522611.jpeg,11,1462,z,L,1,138,542,234,638,3,22,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg,12,1132,/?,R,1,640,968,736,1064,2,21,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_67849508.jpeg,13,1270,/?,R,1,1112,670,1208,766,2,1,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg,14,1234,z,L,1,118,816,214,912,2,21,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg,15,1601,/?,R,1,1784,686,1880,782,3,22,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg,16,1152,z,L,1,1532,290,1628,386,1,19,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\079_L_filler_absent_bowl.jpg,17,1020,z,L,1,64,280,160,376,1,19,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg,18,990,/?,R,1,838,952,934,1048,2,1,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg,19,1704,z,L,1,782,724,878,820,3,22,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg,20,820,z,L,1,492,856,588,952,2,21,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-hakim-santoso-3634740.jpg,21,1173,/?,R,1,1196,318,1292,414,1,19,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_300087971.jpeg,22,1460,/?,R,1,1140,926,1236,1022,2,1,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg,23,888,/?,R,1,1090,900,1186,996,2,21,0,0,0,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg,24,1083,/?,R,1,1120,886,1216,982,3,22,0,0,0,0,0
