sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,1,892,z,L,1,680,516,785.6,621.6,2,19,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg,2,869,/?,R,1,1160,688,1265.6,793.6,3,12,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\AdobeStock_106076039.jpeg,3,1027,/?,R,1,1440,772,1545.6,877.6,2,3,0,1,19,2,1
24,4,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,4,1176,z,L,1,396,212,501.6,317.6,1,6,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7060815.jpg,5,1365,z,L,1,1692,930,1797.6,1035.6,2,6,1,1,3,3,3
24,4,Stimuli\scenes\mainScenes\080_L_filler_absent_plant.jpg,6,1274,z,L,1,158,514,263.6,619.6,3,19,1,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062154.jpg,7,1135,/?,R,1,846,916,951.6,1021.6,2,3,0,1,19,1,3
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,8,1243,/?,R,1,290,744,395.6,849.6,3,12,0,1,19,4,1
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312078.jpg,9,1037,/?,R,1,128,468,233.6,573.6,1,6,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg,10,963,/?,R,1,438,562,543.6,667.6,3,12,0,1,19,3,2
24,4,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,11,1568,/?,R,1,828,668,933.6,773.6,2,19,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-get-lost-mike-9993440.jpg,12,973,z,L,1,860,678,965.6,783.6,2,3,0,1,19,3,3
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,13,782,z,L,1,730,454,835.6,559.6,1,12,1,1,3,2,2
24,4,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,14,1096,z,L,1,938,444,1043.6,549.6,1,6,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg,15,1024,z,L,1,462,566,567.6,671.6,3,19,1,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,16,1641,z,R,0,414,934,519.6,1039.6,2,3,0,1,19,2,3
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,17,1184,z,L,1,474,946,579.6,1051.6,2,19,0,1,6,1,3
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583892.jpg,18,1213,/?,R,1,198,236,303.6,341.6,1,3,1,1,12,1,3
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,19,870,z,L,1,550,258,655.6,363.6,1,6,0,1,3,3,1
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,20,1592,z,L,1,986,920,1091.6,1025.6,2,12,1,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,21,2012,/?,R,1,1666,914,1771.6,1019.6,2,19,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-10827398.jpg,22,1106,/?,R,1,1572,662,1677.6,767.6,3,12,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\073_L_filler_absent_coffeemug.jpg,23,978,z,L,1,474,290,579.6,395.6,1,6,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4258272.jpg,24,1142,z,L,1,186,562,291.6,667.6,2,3,0,1,19,3,1
24,4,Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg,25,1063,z,L,1,678,898,783.6,1003.6,2,19,0,1,6,2,3
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-15409439.jpg,26,878,/?,R,1,684,694,789.6,799.6,2,6,1,1,3,3,1
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg,27,1050,/?,R,1,1606,894,1711.6,999.6,2,3,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,28,1164,z,L,1,350,642,455.6,747.6,3,12,0,1,19,2,2
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,29,1047,z,L,1,246,756,351.6,861.6,3,19,1,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601072.jpg,30,1107,z,L,1,590,926,695.6,1031.6,2,3,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312077.jpg,31,1248,/?,R,1,1548,448,1653.6,553.6,1,6,0,1,3,1,3
24,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,32,1435,z,L,1,116,534,221.6,639.6,3,12,0,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7005450.jpg,33,796,z,L,1,1034,802,1139.6,907.6,2,6,1,0,0,0,0
24,4,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg,34,1398,z,L,1,1450,646,1555.6,751.6,3,12,0,1,19,2,1
