sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
50,1,Stimuli\scenes\practiceScenes\pexels-hakim-santoso-3634740.jpg,1,3027,/?,L,0,896,922,992,1018,2,22,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\AdobeStock_142522611.jpeg,2,3425,/?,R,1,546,764,642,860,2,11,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5353881.jpg,3,2139,/?,R,1,1238,476,1334,572,3,10,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-3958951.jpg,4,1963,/?,L,0,634,42,730,138,1,18,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg,5,4002,/?,L,0,1582,886,1678,982,2,22,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg,6,NaN,nan,L,2,290,786,386,882,3,10,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg,7,2087,/?,R,1,640,968,736,1064,2,11,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg,8,1430,z,L,1,1156,128,1252,224,1,18,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\079_L_filler_absent_bowl.jpg,9,2151,/?,R,1,1674,786,1770,882,2,22,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-14495889.jpg,10,1755,z,L,1,784,978,880,1074,2,11,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg,11,1083,/?,R,1,174,342,270,438,1,18,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\077_L_filler_absent_footrest.jpg,12,2451,z,L,1,1306,476,1402,572,3,10,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-10099319.jpg,13,1019,/?,R,1,910,818,1006,914,3,10,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg,14,1935,z,L,1,1086,854,1182,950,2,22,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg,15,2200,z,L,1,838,952,934,1048,2,11,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg,16,1053,z,L,1,316,548,412,644,1,18,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8186506.jpg,17,1680,z,L,1,1398,398,1494,494,1,18,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg,18,1676,/?,R,1,1428,492,1524,588,3,10,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\AdobeStock_67849508.jpeg,19,995,z,L,1,1112,670,1208,766,2,22,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\AdobeStock_490760493.jpeg,20,1111,z,L,1,1260,708,1356,804,2,11,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg,21,1490,z,R,0,656,436,752,532,1,18,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg,22,1358,/?,R,1,1532,956,1628,1052,2,22,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\AdobeStock_283829914.jpeg,23,1208,/?,R,1,1588,488,1684,584,3,10,0,0,0,0,0
50,1,Stimuli\scenes\practiceScenes\AdobeStock_300087971.jpeg,24,1094,/?,R,1,1140,926,1236,1022,2,11,0,0,0,0,0
