sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,1,1067,/?,R,1,474,946,579.6,1051.6,2,11,1,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956843.jpg,2,793,/?,R,1,508,888,613.6,993.6,2,3,0,1,18,1,3
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,3,741,z,L,1,308,188,413.6,293.6,1,18,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,4,904,z,L,1,900,882,1005.6,987.6,2,22,0,1,11,1,3
16,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg,5,962,/?,R,1,1240,916,1345.6,1021.6,2,3,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,6,1833,z,L,1,1518,212,1623.6,317.6,1,18,0,1,22,4,3
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,7,685,/?,R,1,820,434,925.6,539.6,1,11,1,1,18,3,1
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469153.jpg,8,708,z,L,1,964,542,1069.6,647.6,2,22,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,9,850,/?,R,1,730,454,835.6,559.6,1,18,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4258272.jpg,10,835,/?,R,1,186,562,291.6,667.6,2,3,0,1,18,4,3
16,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6969864.jpg,11,1127,/?,R,1,334,508,439.6,613.6,3,11,0,1,18,3,2
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,12,1228,/?,R,1,1174,922,1279.6,1027.6,2,22,0,1,3,4,1
16,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,13,2343,/?,R,1,564,896,669.6,1001.6,3,3,1,0,0,0,0
16,2,Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg,14,805,z,L,1,678,898,783.6,1003.6,2,22,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,15,805,z,L,1,1180,380,1285.6,485.6,1,11,1,1,3,1,3
16,2,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,16,552,z,L,1,1472,158,1577.6,263.6,1,18,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,17,805,/?,R,1,1068,524,1173.6,629.6,3,11,0,1,22,1,2
16,2,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,18,1279,z,L,1,284,696,389.6,801.6,2,18,1,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg,19,1722,/?,R,1,532,204,637.6,309.6,1,3,1,1,11,4,2
16,2,Stimuli\scenes\mainScenes\pexels-keegan-checks-10117731.jpg,20,1400,z,L,1,1154,932,1259.6,1037.6,2,22,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg,21,772,z,L,1,408,214,513.6,319.6,1,18,0,0,0,0,0
16,2,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-11315956.jpg,22,1012,z,L,1,914,950,1019.6,1055.6,2,3,0,1,18,1,1
16,2,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158669.jpg,23,1600,z,L,1,304,746,409.6,851.6,2,22,0,0,0,0,0
