sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
8,7,Stimuli\scenes\mainScenes\036_L_filler_absent_bowl.jpg,1,959,/?,R,1,430,232,535.6,337.6,1,20,0,1,4,3,3
8,7,Stimuli\scenes\mainScenes\022_L_filler_absent_lamp.jpg,2,721,/?,R,1,1278,626,1383.6,731.6,3,4,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg,3,636,z,L,1,936,544,1041.6,649.6,3,5,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,4,1130,/?,R,1,214,912,319.6,1017.6,2,10,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,5,839,/?,R,1,1714,630,1819.6,735.6,3,4,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,6,830,z,L,1,1230,912,1335.6,1017.6,2,10,0,1,5,4,1
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg,7,709,/?,R,1,1160,688,1265.6,793.6,3,5,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,8,665,/?,R,1,1352,594,1457.6,699.6,3,20,1,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-3935337.jpg,9,927,z,L,1,948,188,1053.6,293.6,1,4,1,1,20,3,2
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062154.jpg,10,1074,z,L,1,846,916,951.6,1021.6,2,10,0,1,20,3,3
8,7,Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg,11,1135,/?,R,1,1324,212,1429.6,317.6,1,20,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,12,961,z,R,0,1488,510,1593.6,615.6,3,5,0,1,20,2,1
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,13,1451,/?,R,1,774,192,879.6,297.6,1,20,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\AdobeStock_216902241.jpeg,14,1401,z,L,1,660,288,765.6,393.6,3,4,0,1,5,3,2
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4800177.jpg,15,799,/?,R,1,360,678,465.6,783.6,2,10,0,1,4,4,3
8,7,Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg,16,1790,/?,R,1,168,648,273.6,753.6,3,5,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg,17,983,/?,R,1,468,534,573.6,639.6,3,4,0,1,10,1,1
8,7,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,18,1008,z,L,1,1254,226,1359.6,331.6,1,10,1,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,19,615,/?,R,1,656,468,761.6,573.6,1,5,1,1,4,2,3
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg,20,775,z,L,1,1466,458,1571.6,563.6,1,20,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,21,680,z,L,1,1300,276,1405.6,381.6,1,20,0,1,5,1,3
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,22,805,/?,R,1,246,756,351.6,861.6,3,4,0,1,20,4,2
8,7,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,23,669,/?,R,1,48,390,153.6,495.6,1,5,1,1,20,1,3
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-8082201.jpg,24,818,/?,R,1,34,900,139.6,1005.6,2,10,0,1,5,1,3
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061393.jpg,25,905,z,L,1,982,884,1087.6,989.6,2,4,1,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-denys-gromov-4716789.jpg,26,771,z,L,1,644,898,749.6,1003.6,2,10,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,27,917,/?,R,1,308,188,413.6,293.6,1,20,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6969864.jpg,28,784,/?,R,1,334,508,439.6,613.6,3,5,0,0,0,0,0
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,29,865,/?,R,1,1292,936,1397.6,1041.6,2,4,1,1,10,3,1
8,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312077.jpg,30,814,z,L,1,488,900,593.6,1005.6,2,10,0,1,4,4,3
