sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
1,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956843.jpg,1,1182,z,L,1,508,888,613.6,993.6,2,19,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,2,1263,z,L,1,1334,548,1439.6,653.6,3,12,0,1,1,4,2
1,7,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg,3,852,z,L,1,1024,560,1129.6,665.6,1,11,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,4,2089,z,L,1,104,590,209.6,695.6,3,1,1,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg,5,1468,/?,R,1,1450,660,1555.6,765.6,3,12,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg,6,930,z,L,1,1416,740,1521.6,845.6,3,19,1,1,12,4,2
1,7,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,7,916,/?,R,1,1472,158,1577.6,263.6,1,11,0,1,19,3,2
1,7,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,8,535,z,L,1,828,668,933.6,773.6,2,1,1,0,0,0,0
1,7,Stimuli\scenes\mainScenes\AdobeStock_106076039.jpeg,9,1321,/?,R,1,32,230,137.6,335.6,1,11,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4119833.jpg,10,677,/?,R,1,732,540,837.6,645.6,3,12,0,1,19,1,1
1,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061393.jpg,11,1554,z,R,0,1562,118,1667.6,223.6,1,1,0,1,11,4,3
1,7,Stimuli\scenes\mainScenes\pexels-alex-qian-2343467.jpg,12,1003,/?,R,1,1202,910,1307.6,1015.6,2,19,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,13,1435,/?,R,1,142,204,247.6,309.6,1,11,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-denys-gromov-4716789.jpg,14,785,z,L,1,918,534,1023.6,639.6,2,1,1,1,12,3,2
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-10827398.jpg,15,1610,/?,R,1,1572,662,1677.6,767.6,3,12,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,16,759,/?,R,1,910,916,1015.6,1021.6,2,19,0,1,1,3,3
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg,17,1295,/?,R,1,1152,206,1257.6,311.6,1,11,0,1,19,2,2
1,7,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,18,812,z,L,1,538,394,643.6,499.6,1,1,0,1,19,1,2
1,7,Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg,19,885,z,L,1,1628,892,1733.6,997.6,2,19,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,20,1300,/?,R,1,414,934,519.6,1039.6,2,12,1,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,21,735,/?,R,1,1230,912,1335.6,1017.6,2,19,0,1,11,4,1
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-3935337.jpg,22,963,z,L,1,948,188,1053.6,293.6,1,11,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-curtis-adams-4800177.jpg,23,2817,/?,R,1,386,140,491.6,245.6,1,1,0,0,0,0,0
1,7,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-8082201.jpg,24,1574,/?,R,1,34,900,139.6,1005.6,2,12,1,0,0,0,0
