sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4258272.jpg,1,1249,z,L,1,1724,318,1829.6,423.6,1,20,0,1,5,2,2
8,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,2,870,/?,R,1,1488,510,1593.6,615.6,3,4,0,1,10,4,1
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,3,1308,z,L,1,1480,828,1585.6,933.6,3,5,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,4,680,z,L,1,680,516,785.6,621.6,2,10,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-10827398.jpg,5,925,/?,R,1,1740,314,1845.6,419.6,1,20,0,1,10,3,1
8,5,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,6,976,/?,R,1,1530,528,1635.6,633.6,3,4,0,1,10,2,1
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg,7,1298,/?,R,1,74,374,179.6,479.6,1,10,1,1,4,2,2
8,5,Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg,8,709,/?,R,1,216,466,321.6,571.6,1,5,1,0,0,0,0
8,5,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,9,766,z,L,1,336,538,441.6,643.6,3,4,0,1,10,2,3
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,10,778,z,L,1,1586,490,1691.6,595.6,3,5,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,11,891,/?,R,1,1334,944,1439.6,1049.6,2,10,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\036_L_filler_absent_bowl.jpg,12,1192,/?,R,1,430,232,535.6,337.6,1,20,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713242.jpg,13,1168,/?,R,1,266,606,371.6,711.6,2,10,0,1,20,2,1
8,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,14,986,/?,R,1,1558,748,1663.6,853.6,3,4,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg,15,842,z,L,1,1628,362,1733.6,467.6,1,5,1,1,10,1,3
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,16,1033,/?,R,1,864,72,969.6,177.6,1,20,0,1,4,2,3
8,5,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-3753437.jpg,17,720,z,L,1,340,460,445.6,565.6,3,4,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg,18,788,/?,R,1,806,602,911.6,707.6,2,20,1,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,19,981,z,L,1,716,780,821.6,885.6,2,10,0,1,5,2,3
8,5,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,20,997,/?,R,1,150,720,255.6,825.6,3,5,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-alex-qian-2343467.jpg,21,742,/?,R,1,236,870,341.6,975.6,3,4,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg,22,658,z,L,1,1024,560,1129.6,665.6,1,20,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,23,943,z,L,1,246,630,351.6,735.6,3,10,1,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-get-lost-mike-9993440.jpg,24,730,z,L,1,1144,544,1249.6,649.6,3,5,0,1,4,1,3
8,5,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,25,1413,/?,R,1,606,898,711.6,1003.6,2,10,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg,26,821,/?,R,1,950,842,1055.6,947.6,2,4,1,1,20,4,1
8,5,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,27,560,/?,R,1,938,444,1043.6,549.6,1,20,0,1,4,4,3
8,5,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,28,1005,z,L,1,1618,522,1723.6,627.6,3,5,0,1,10,1,1
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,29,1349,z,L,1,950,260,1055.6,365.6,1,20,0,1,5,1,3
8,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg,30,854,z,L,1,466,792,571.6,897.6,3,10,1,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-3958964.jpg,31,573,z,L,1,990,538,1095.6,643.6,3,4,0,0,0,0,0
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,32,797,/?,R,1,110,724,215.6,829.6,2,5,1,1,20,4,1
8,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583892.jpg,33,1245,/?,R,1,324,542,429.6,647.6,3,4,0,1,10,1,3
