fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
147.961399998167,2,1,0,0,3,1
229.958399999305,1,1,0,0,3,1
272.56099999795,1,1,0,0,3,1
85.9495999975479,2,2,0,1,1,1
135.961400002998,3,2,0,1,1,1
548.379899999418,1,2,0,1,1,1
181.92469999849,4,3,0,0,8,3
534.150799998315,3,3,0,0,8,3
181.982000001881,3,4,1,0,22,1
293.941300002189,4,4,1,0,22,1
279.941500000859,2,4,1,0,22,1
469.774100001814,1,4,1,0,22,1
521.777099998872,3,5,1,0,3,3
413.500599999679,4,6,0,1,1,4
471.543600000587,2,7,1,1,22,2
178.050099999382,1,8,0,0,8,3
431.455100002495,3,8,0,0,8,3
368.048899999849,2,9,0,0,1,4
587.210100002267,4,9,0,0,1,4
353.462600000057,2,10,0,0,8,2
199.938800000382,2,11,1,0,22,1
448.974799997814,1,11,1,0,22,1
562.791399999696,2,12,1,0,3,2
464.734900000622,1,13,1,0,1,1
156.023399998958,3,14,0,0,3,4
87.9416999996465,1,14,0,0,3,4
111.927800000558,1,14,0,0,3,4
524.803199998132,4,14,0,0,3,4
159.91589999976,1,15,0,1,8,2
370.508400003018,2,15,0,1,8,2
210.047500000655,2,16,1,0,22,4
620.540799998707,4,16,1,0,22,4
105.980899999849,4,17,1,1,1,2
426.343900002394,2,17,1,1,1,2
143.945700001495,1,18,0,0,3,2
512.154299998656,2,18,0,0,3,2
124.021800002083,3,19,1,0,22,2
258.06840000223,4,19,1,0,22,2
512.161499998911,2,19,1,0,22,2
70.0245000007271,4,20,0,0,8,1
477.714399999968,1,20,0,0,8,1
355.928000000858,3,21,0,1,1,3
138.136100002157,3,22,1,0,22,1
425.537300001452,1,22,1,0,22,1
178.027800000564,3,23,0,0,8,3
281.637299998692,3,23,0,0,8,3
503.384399999049,4,24,0,0,3,4
185.886499999469,2,25,0,0,1,1
693.300900002214,1,25,0,0,1,1
131.979399997363,3,26,1,0,22,1
443.094499998551,1,26,1,0,22,1
143.96570000099,2,27,1,0,8,4
176.031099999818,1,27,1,0,8,4
584.98359999794,4,27,1,0,8,4
59.9648999996134,2,28,1,1,3,3
319.952399997419,4,28,1,1,3,3
161.995500002377,3,28,1,1,3,3
552.074299997912,3,28,1,1,3,3
522.699600001943,4,29,0,0,8,4
289.22259999672,4,30,0,0,1,1
113.983100000041,2,30,0,0,1,1
183.995100000175,1,30,0,0,1,1
434.750599997642,1,30,0,0,1,1
171.586799999204,2,31,1,0,3,1
380.568699998548,1,31,1,0,3,1
140.034500000183,4,32,1,1,22,2
810.011400000803,2,32,1,1,22,2
496.402799999487,2,33,0,0,3,2
494.306399999914,1,34,1,0,1,1
62.0202000027348,4,35,0,1,22,1
466.015300000436,1,35,0,1,22,1
291.810000002442,2,36,1,0,8,2
86.0630999995919,2,37,0,0,1,1
747.917699998652,1,37,0,0,1,1
429.699500000424,4,38,1,0,8,4
171.895000003133,4,39,0,0,22,1
545.717699998931,1,39,0,0,22,1
193.865499997628,2,40,1,0,3,4
92.0141999995394,4,40,1,0,3,4
275.707599997986,4,40,1,0,3,4
499.421000000439,1,41,1,0,1,1
96.001999998407,3,42,0,1,8,3
649.319600001036,3,42,0,1,8,3
74.0390999999363,2,43,1,1,3,4
425.907400000142,4,43,1,1,3,4
228.002699997887,3,44,0,0,22,1
211.992000000464,2,44,0,0,22,1
595.392500003072,1,44,0,0,22,1
160.006399997656,2,45,1,0,3,3
143.980999997439,4,45,1,0,3,3
131.990699999733,1,46,0,0,1,3
342.497500001627,3,46,0,0,1,3
404.562100000476,2,47,0,1,8,2
136.01700000072,4,48,1,0,22,1
448.743799999647,1,48,1,0,22,1
204.049700001633,3,49,1,1,8,3
252.510800000891,3,49,1,1,8,3
57.941999999457,3,50,1,0,1,3
392.169700000522,3,50,1,0,1,3
352.066000003106,2,51,0,0,22,2
254.075200002262,1,52,0,0,3,2
74.1042000008747,2,52,0,0,3,2
91.9407000001229,2,52,0,0,3,2
93.9986999983375,2,52,0,0,3,2
242.086300000665,1,54,0,1,8,3
563.731700000062,3,54,0,1,8,3
128.022400000191,1,55,0,0,1,3
489.985300002445,3,55,0,0,1,3
391.651899997669,3,55,0,0,1,3
142.12100000077,1,56,1,0,22,2
86.0128000022087,2,56,1,0,22,2
476.000900001964,2,56,1,0,22,2
569.116800001211,2,57,0,0,1,2
278.884899998957,3,58,1,1,8,3
127.978100001201,1,59,1,0,3,2
435.022800000297,2,59,1,0,3,2
57.9834999989544,4,60,0,0,22,1
350.86649999721,1,60,0,0,22,1
