fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
247.901899972931,2,1,0,0,6,1
651.152400067076,1,1,0,0,6,1
107.996199978516,3,2,1,1,19,3
390.854099998251,3,2,1,1,19,3
56.0037000104785,2,3,1,0,3,2
374.826099956408,2,3,1,0,3,2
627.157500013709,1,4,1,0,12,1
402.864299947396,1,5,0,0,12,1
135.905399918556,1,6,0,0,19,4
356.92030005157,4,6,0,0,19,4
486.85280000791,1,7,1,0,6,1
536.896500037983,1,8,0,1,3,1
61.9705999270082,2,9,0,0,6,1
537.05899999477,1,9,0,0,6,1
218.026999849826,3,10,1,1,19,3
182.930500013754,3,10,1,1,19,3
209.968599956483,1,11,1,0,3,2
177.986399969086,4,11,1,0,3,2
178.026999812573,2,11,1,0,3,2
198.005000129342,1,12,1,0,12,1
175.969999982044,1,13,0,1,19,3
646.937599871308,3,13,0,1,19,3
176.01460008882,4,14,0,0,3,3
639.026100048795,3,14,0,0,3,3
157.983399927616,4,16,1,0,6,2
197.98109983094,1,16,1,0,6,2
255.998299922794,2,16,1,0,6,2
149.955500150099,3,17,0,0,19,2
545.003099832684,2,18,1,1,6,2
139.973599929363,4,19,1,0,12,3
286.032299976796,3,19,1,0,12,3
374.619300011545,2,20,0,0,3,3
314.00389992632,4,20,0,0,3,3
238.016800023615,1,20,0,0,3,3
208.02989997901,3,20,0,0,3,3
265.224500093609,3,20,0,0,3,3
143.968699965626,1,21,0,0,6,3
639.093399979174,3,21,0,0,6,3
619.096799986437,2,22,0,0,19,2
193.953099893406,1,23,1,0,12,1
261.927700135857,4,24,1,0,3,4
375.249400036409,4,24,1,0,3,4
479.102900018916,3,25,0,1,19,3
529.321700101718,4,26,1,1,12,4
422.018199926242,3,27,0,0,6,3
74.0185999311507,3,27,0,0,6,3
98.0431998614222,1,28,1,0,3,4
599.177500000224,4,28,1,0,3,4
181.95420014672,4,29,0,0,12,1
212.034899974242,1,29,0,0,12,1
193.460099864751,1,29,0,0,12,1
225.984599906951,2,30,1,1,19,1
351.130499970168,1,30,1,1,19,1
101.970700081438,2,31,0,1,3,2
119.409000035375,2,31,0,1,3,2
249.919899972156,4,32,0,0,6,4
659.123500110582,4,32,0,0,6,4
169.966300018132,1,33,1,0,12,2
1067.99979996867,2,33,1,0,12,2
363.379899878055,2,33,1,0,12,2
129.955499898642,3,34,0,0,19,4
575.288400053978,1,36,1,0,6,1
145.946800010279,1,37,0,1,19,3
469.304600032046,3,37,0,1,19,3
481.233000056818,1,38,1,0,12,1
645.287799881771,4,39,0,0,6,4
621.292500058189,4,40,1,0,3,4
262.055600062013,1,41,1,0,19,4
157.968200044706,4,41,1,0,19,4
74.0092999767512,4,41,1,0,19,4
458.021699916571,4,41,1,0,19,4
683.312099892646,4,42,0,0,12,4
135.941500077024,4,43,0,0,6,4
152.073800098151,4,44,1,1,3,1
195.926700020209,1,44,1,1,3,1
169.822999974713,3,45,0,0,6,4
649.506499990821,4,45,0,0,6,4
92.07300003618,1,46,0,1,19,2
109.937600092962,3,47,1,0,12,3
54.0267999749631,3,47,1,0,12,3
485.422800062224,3,47,1,0,12,3
176.003099884838,2,48,0,0,3,3
148.005400085822,1,48,0,0,3,3
483.456299873069,3,48,0,0,3,3
124.051900114864,2,49,1,0,19,3
485.485999844968,3,49,1,0,19,3
707.483500009403,4,50,1,0,3,4
563.980600098148,2,51,0,0,12,2
249.414599966258,2,51,0,0,12,2
137.965400004759,2,52,1,1,6,4
78.0843000393361,1,52,1,1,6,4
196.022699819878,2,53,0,0,19,4
319.980300031602,1,53,0,0,19,4
260.022499831393,2,53,0,0,19,4
209.984600078315,4,53,0,0,19,4
226.014500018209,3,53,0,0,19,4
481.765599921346,4,53,0,0,19,4
169.980499893427,4,54,1,0,6,3
339.660100173205,3,54,1,0,6,3
193.504600087181,2,55,0,1,3,2
128.006600076333,1,56,1,0,12,2
265.658799791709,2,56,1,0,12,2
73.9623000845313,1,57,1,0,12,3
205.97009989433,2,58,1,1,6,4
364.005499985069,3,58,1,1,6,4
438.017500098795,4,58,1,1,6,4
92.0309000648558,3,58,1,1,6,4
307.444399921224,3,58,1,1,6,4
135.948400013149,2,59,0,0,19,1
651.50919998996,1,59,0,0,19,1
152.009599842131,1,60,0,0,3,2
429.503999883309,2,60,0,0,3,2
