fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
172.01010000008,4,1,1,0,10,1
136.02979999996,3,1,1,0,10,1
734.768499999518,1,1,1,0,10,1
534.486999999899,4,2,1,0,4,4
97.7110000003449,4,3,1,0,3,1
143.971399999828,4,3,1,0,3,1
606.492099999741,1,3,1,0,3,1
255.989799999952,1,4,0,0,16,3
402.024300000448,2,4,0,0,16,3
284.05870000006,4,4,0,0,16,3
604.437099999814,3,4,0,0,16,3
167.978800000128,3,5,0,0,4,4
712.362600000233,4,5,0,0,4,4
1008.28850000016,4,6,0,1,3,4
106.034899999941,2,7,1,0,16,1
238.048799999888,3,7,1,0,16,1
72.0403000004808,1,7,1,0,16,1
214.009100000112,1,7,1,0,16,1
150.028199999724,2,7,1,0,16,1
586.358499999733,1,7,1,0,16,1
139.998599999672,2,8,0,0,10,3
474.311799999668,3,8,0,0,10,3
153.993299999456,1,9,0,0,3,4
220.025300000088,2,9,0,0,3,4
154.013500000474,3,9,0,0,3,4
92.0087999993484,3,9,0,0,3,4
518.224600000394,4,9,0,0,3,4
212.004800000614,2,10,1,1,4,3
95.9865000004356,3,10,1,1,4,3
612.360099999933,3,10,1,1,4,3
153.998300000239,1,11,1,0,10,2
115.982499999518,3,11,1,0,10,2
130.027500000324,1,11,1,0,10,2
722.289100000125,2,11,1,0,10,2
97.9829000007157,2,12,1,0,16,4
67.9767000001448,2,12,1,0,16,4
156.008800000563,3,12,1,0,16,4
82.0041999995738,1,12,1,0,16,4
270.015999999487,1,12,1,0,16,4
640.450100000635,4,12,1,0,16,4
162.038299999949,3,13,1,0,10,1
610.456299999896,1,13,1,0,10,1
542.336499999692,1,14,1,1,3,1
421.99729999993,1,15,1,0,16,3
232.072400000106,2,15,1,0,16,3
187.957499999357,4,15,1,0,16,3
528.289700000641,3,15,1,0,16,3
448.435399999653,1,16,0,1,4,1
582.366399999955,2,17,0,0,4,2
150.008999999955,2,18,0,0,10,1
526.491699999497,1,18,0,0,10,1
634.308700000474,1,19,0,0,3,1
149.997600000461,4,20,1,0,16,2
237.987599999542,1,20,1,0,16,2
269.970000000285,4,20,1,0,16,2
177.988999999798,3,20,1,0,16,2
480.648900000233,2,20,1,0,16,2
526.614100000188,3,21,1,1,4,3
137.99999999992,4,22,1,0,10,2
163.981599999715,3,22,1,0,10,2
372.438200000033,2,22,1,0,10,2
233.971399999973,4,23,0,1,3,2
584.502400000019,2,23,0,1,3,2
164.004100000056,2,24,1,0,16,2
163.921399999708,3,24,1,0,16,2
716.46200000032,2,24,1,0,16,2
822.325399999499,1,25,1,0,3,1
197.981100000106,1,26,0,0,4,1
534.40319999936,1,26,0,0,4,1
141.964499999631,4,27,0,0,10,3
482.50999999982,3,27,0,0,10,3
676.377099999627,1,28,0,0,16,1
95.9218999996665,4,29,0,0,3,4
564.71319999946,4,29,0,0,3,4
84.0254000004279,2,30,1,1,4,4
544.646499999544,4,30,1,1,4,4
564.579799999592,2,31,1,0,16,3
112.038799999937,2,32,0,0,10,1
123.993600000176,4,32,0,0,10,1
123.970200000258,3,32,0,0,10,1
305.989899999986,1,32,0,0,10,1
222.005900000113,3,32,0,0,10,1
192.022300000644,2,32,0,0,10,1
50.0337000003128,2,32,0,0,10,1
70.013900000049,4,32,0,0,10,1
89.9792999998681,4,32,0,0,10,1
243.986700000278,3,32,0,0,10,1
124.013499999819,3,32,0,0,10,1
647.991699999693,1,32,0,0,10,1
144.00999999998,4,33,1,0,3,1
205.994300000384,2,33,1,0,3,1
492.518400000336,1,33,1,0,3,1
1010.58420000027,1,34,0,0,16,1
440.65049999972,2,35,1,0,4,2
322.63150000017,3,36,0,1,10,3
149.991600000249,4,37,0,0,4,2
576.003500000297,2,37,0,0,4,2
160.014899999624,4,38,0,0,3,1
720.771799999966,1,38,0,0,3,1
154.075899999953,4,39,0,0,10,3
149.993899999572,1,39,0,0,10,3
122.00060000032,2,39,0,0,10,3
584.631499999887,3,39,0,0,10,3
151.968999999553,4,40,1,0,16,1
138.012100000196,2,40,1,0,16,1
682.560199999898,1,40,1,0,16,1
1224.76929999993,1,41,1,0,3,1
676.606099999844,2,42,1,1,10,2
520.752500000526,3,43,0,1,16,3
596.663000000262,3,44,1,0,4,3
230.043800000203,4,45,0,0,10,4
231.994499999928,3,45,0,0,10,4
606.705399999555,4,45,0,0,10,4
837.018000000171,1,46,0,0,3,1
157.994000000144,1,47,1,1,16,4
576.515700000527,4,47,1,1,16,4
159.988100000191,4,48,0,0,4,1
397.935899999538,1,48,0,0,4,1
678.547100000287,4,49,1,0,3,4
662.671799999771,1,50,1,0,16,1
568.530600000486,1,51,0,1,10,1
115.962900000341,1,52,1,0,4,4
740.543199999593,4,52,1,0,4,4
137.99199999994,1,53,1,0,4,4
554.659299999912,4,53,1,0,4,4
163.954799999374,2,54,0,1,10,3
566.762000000381,3,54,0,1,10,3
132.029399999738,2,55,0,0,3,4
560.812899999291,4,55,0,0,3,4
118.059600000379,1,56,1,1,16,2
534.805100000085,2,56,1,1,16,2
149.9874000001,2,57,1,0,10,1
124.00339999931,3,57,1,0,10,1
608.532499999455,1,57,1,0,10,1
330.659700000069,2,58,0,0,4,2
472.673299999769,1,59,1,0,3,1
226.008600000569,3,60,0,0,16,2
134.032999999363,4,60,0,0,16,2
852.724599999419,2,60,0,0,16,2
