fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
660.678700000062,3,1,1,0,14,3
339.9801999999,4,2,1,1,10,1
453.307199999927,1,2,1,1,10,1
472.313099999838,1,3,0,1,16,1
100.009499999942,2,4,0,0,5,4
196.035299999949,2,4,0,0,5,4
206.00330000002,3,4,0,0,5,4
269.994300000008,1,4,0,0,5,4
178.047000000106,4,4,0,0,5,4
333.969299999808,4,4,0,0,5,4
528.013200000032,3,5,0,0,5,3
200.012400000105,3,6,1,1,14,2
154.019300000073,2,6,1,1,14,2
387.950000000046,2,6,1,1,14,2
180.031500000041,3,7,0,0,16,2
142.024199999923,4,7,0,0,16,2
265.946600000007,1,7,0,0,16,2
599.825100000089,2,7,0,0,16,2
769.862200000034,4,8,1,0,10,4
202.014100000042,2,9,0,0,10,3
447.39340000001,3,9,0,0,10,3
387.937299999976,4,10,1,0,14,3
537.495000000035,3,10,1,0,14,3
53.9819999999054,3,11,1,0,16,4
455.329800000072,4,11,1,0,16,4
485.122900000079,4,12,0,1,5,4
337.156800000002,1,13,1,0,10,1
569.058600000062,2,14,0,0,5,2
490.759999999909,2,15,1,1,14,2
179.847900000141,2,16,0,1,16,4
348.894299999984,4,16,0,1,16,4
313.952499999914,1,17,1,0,14,4
230.076000000054,3,17,1,0,14,4
520.695100000012,4,17,1,0,14,4
474.927100000059,3,18,0,0,5,3
136.044099999935,4,19,0,0,16,2
287.998300000027,3,19,0,0,16,2
600.474099999929,2,19,0,0,16,2
170.066099999985,1,20,1,0,10,2
538.206100000025,2,20,1,0,10,2
204.06109999999,1,21,1,0,14,4
520.223499999929,4,21,1,0,14,4
175.943799999914,4,22,1,0,5,3
504.382699999951,3,22,1,0,5,3
194.001099999923,3,23,0,1,10,2
473.887200000036,2,23,0,1,10,2
142.158999999992,1,24,1,0,16,4
167.908899999929,3,24,1,0,16,4
188.003900000012,2,24,1,0,16,4
295.969100000093,4,24,1,0,16,4
271.535599999879,4,24,1,0,16,4
545.303000000104,3,25,0,0,10,3
450.106699999878,2,26,0,0,5,1
545.849500000031,1,26,0,0,5,1
535.420199999862,2,27,0,0,14,2
312.016800000038,1,28,1,1,16,3
483.021700000108,3,28,1,1,16,3
483.592100000124,2,29,1,0,14,2
311.920299999883,4,30,1,1,16,1
215.03030000008,1,30,1,1,16,1
562.029400000029,3,31,0,0,5,2
268.00389999994,1,31,0,0,5,2
562.828499999796,2,31,0,0,5,2
136.002400000052,3,32,0,0,10,3
160.136700000066,1,32,0,0,10,3
267.130899999984,3,32,0,0,10,3
188.05610000004,2,33,0,0,14,1
696.576600000071,1,33,0,0,14,1
172.008200000164,1,34,0,1,10,2
586.618400000134,2,34,0,1,10,2
361.895499999946,3,35,1,0,5,3
294.748600000048,3,35,1,0,5,3
189.990699999953,4,36,1,0,16,3
145.941699999867,1,36,1,0,16,3
56.0058000000936,3,36,1,0,16,3
522.188900000174,3,36,1,0,16,3
344.158499999821,1,37,1,1,14,1
179.961300000059,1,38,1,0,5,3
126.033000000007,4,38,1,0,5,3
522.102599999926,3,38,1,0,5,3
129.934699999922,1,39,0,0,16,3
469.847999999956,3,39,0,0,16,3
437.944799999968,1,40,1,0,10,1
111.919400000033,2,41,0,1,10,4
395.575999999892,4,41,0,1,10,4
221.998799999938,2,42,1,0,5,3
591.609400000152,3,42,1,0,5,3
169.914500000004,2,43,0,0,14,3
238.053000000036,3,43,0,0,14,3
345.440900000085,3,43,0,0,14,3
509.30500000004,2,44,0,0,16,2
155.994899999996,3,45,0,0,5,4
335.165800000141,4,45,0,0,5,4
464.720100000022,4,46,1,1,14,4
153.955500000166,1,47,1,0,10,3
488.789100000076,2,48,0,0,16,2
114.123100000143,1,49,1,0,14,3
376.565300000038,3,49,1,0,14,3
356.631300000117,4,50,0,1,10,4
328.449399999954,4,51,1,0,16,4
240.080799999987,4,52,0,0,5,3
552.293799999916,3,52,0,0,5,3
293.345599999839,4,53,1,0,14,2
570.267999999942,2,53,1,0,14,2
193.943499999932,1,54,0,0,16,2
692.013799999813,2,54,0,0,16,2
301.946200000202,4,55,1,0,5,4
554.256200000054,2,56,0,0,10,2
191.919300000109,2,57,1,0,14,4
73.9651999999751,1,57,1,0,14,4
103.974299999891,1,57,1,0,14,4
411.910500000204,4,57,1,0,14,4
407.60360000013,1,58,0,0,16,1
184.099500000002,4,59,0,1,10,4
170.987800000148,3,60,1,1,5,4
605.321899999808,4,60,1,1,5,4
